SITE,TREATMENT,DATE,TRAP,BIRD,SCAT,ANEMO,LASE,VICIA,UNK1,UNK2,UNK3,UNK4,UNK5,UNK6,UNK7,DICO,UNK8,UNK9,HEHI,CLVI3,UNK10 (TRIFO),UNK11,UNK12,UNK13,UNK14,UNK15,UNK16,UNK17 (BIG APIAC),UNK18,ARIST,ASAS,NALE,UNK19,RUBUS,UNK20,UNK21,UNK22,ASH,UNK23,UNK24,UNK25,NOTES
OS,CONTROL,6/1/19,A,7,1,35,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,CONTROL,6/1/19,B,1,3,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WP,MME,6/1/19,A,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WP,MME,6/1/19,B,2,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WP,CONTROL,6/1/19,A,4,48,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WP,CONTROL,6/1/19,B,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DF,MME,6/1/19,A,17,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DF,MME,6/1/19,B,15,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DF,CONTROL,6/1/19,A,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DF,CONTROL,6/1/19,B,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GG,MME,10/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GG,MME,10/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GG,CONTROL,10/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GG,CONTROL,10/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,MME,10/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,MME,10/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
OS,CONTROL,10/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,CONTROL,10/21/19,B,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WP,MME,10/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,3,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,
WP,MME,10/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,
WP,CONTROL,10/21/19,A,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,
WP,CONTROL,10/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DF,MME,10/21/19,A,,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DF,MME,10/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
DF,CONTROL,10/21/19,A,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,12,0,0,0,1,0,0,0,0,0,2,0,2,1,0,
DF,CONTROL,10/21/19,B,,,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,39,
GG,MME,7/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0,6,2,0,0,0,0,0,0,
GG,MME,7/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
GG,CONTROL,7/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GG,CONTROL,7/21/19,B,,,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,MME,7/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,
OS,MME,7/21/19,B,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,
OS,CONTROL,7/21/19,A,,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,CONTROL,7/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,
WP,MME,7/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,7,1,0,8,0,3,2,0,0,0,0,0,0,0,0,0,0,
WP,MME,7/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WP,CONTROL,7/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
WP,CONTROL,7/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
DF,MME,7/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,
DF,MME,7/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
DF,CONTROL,7/21/19,A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DF,CONTROL,7/21/19,B,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
