GENUS.SPECIES,DORMANCY.CLASS
Hamatocactus sinuatusc,PD
Hamelia axillaris,ND
Hamelia patens,ND
Hammada salicornia,PD
Hammada salicornia,PD
Hampea appendiculata,ND
Hampea appendiculata,PY
Hancornia speciosa,ND
Hancornia speciosa,PD
Hanguana sp.,MPD
Hanguana sp.,PD
Hannafordia quadrivalvis,PD
Haplopappus racemosa,PD
Haplopappus squarrosa,PD
Haplophyllum dauricum,PD
Haploppapus discoideum,PD
Haplostachys ,PD
Hardenbergia comptoniana,PY
Hardenbergia comptoniana,PY
Hardenbergia violacea,PY
Hardwickia binata,ND
Hardwickia hinata,ND
Hardwickia hinata,PY
Harpagophytum procumbens,PD
Harpagophytum zeypheri,PD
Harpephyllum caffrum,PD
Harpullia arborea,ND
Harpullia confusa,ND
Harpullia cupanioides,ND
Harpullia pendula,ND
Harrisia fragrans,PD
Harungana madagascariensis,ND
Harungana medagascarensis,PD
Hasseltia floribunda,ND
Hasseltia floribunda,ND
Havardia pallens,PY
Havardia pallens,PY
Havetiopsis flexilisa,ND
Hebe coarctata,PD
Hebe cupressoides,ND
Hebe cupressoides,ND
Hebe decumbens,PD
Hebe diosmifolia,ND
Hebe hulkeana,ND
Hebe lavaudiana,ND
Hebe pauciramosa,PD
Hebe pinguifolia,ND
Hebe raoulii,ND
Hebe salcifolia,ND
Hebe speciosa,ND
Hebe stricta,PD
Hebe strictissima,ND
Hebe traversii,ND
Hebenstretia repens,PD
Hedeoma multiflorum,PD
Hedera helix,MD
Hedycarya arborea,MPD
Hedyosmum brasiliense,MPD
Hedyotis acuminata,ND
Hedyotis acuminata,PD
Hedyotis centranthoides,ND
Hedyotis centranthoides,PD
Hedyotis salzmannii,ND
Hedyotis salzmannii,PD
Hedyotis terminalis,ND
Hedyotis terminalis,PD
Hedysarum boreale,PY
Hedysarum carnosum,PY
Hedysarum coronarium,PY
Hedysarum flexuosum,PY
Hedysarum fruticosum,PY
Hedysarum laeva,PY
Hedysarum laeve,PY
Hedysarum multijugum,PY
Hedysarum polybotrys,PY
Hedysarum scoparium,ND
Hedysarum scoparium,PY
Hedysarum scoparium,PY
Hedysarum tanguticum,PY
Heisteria concinna,MPD
Heisteria parvifolia,MD
Helenium amarum,ND
Helenium autumnale,PD
Helenium hoopesii,ND
Helianthemum almeriense,PY
Helianthemum apenninum,PY
Helianthemum cinereum,PY
Helianthemum hirtum,PY
Helianthemum lippii,PY
Helianthemum polygonoides,PY
Helianthemum scoparium,PY
Helianthemum squamatum,PY
Helianthemum ventosum,PY
Helianthemum vesicarium,PY
Helianthocereus pasacanac,PD
Helianthus annuus,PD
Helianthus atrorubens,PD
Helianthus grossesserratus,PD
Helianthus maximilianii,PD
Helianthus maximilliani,PD
Helianthus mollis,PD
Helianthus occidentalis,PD
Helianthus occidentalis,PD
Helianthus paradoxus,PD
Helianthus petiolaris,PD
Helianthus rigidus,PD
Helianthus strumosus,PD
Helianthus strumosus,PD
Helianthus subrhombiodeus,PD
Helichrysum apiculatum,PD
Helichrysum apiculatum,PD
Helichrysum aureonitens,PD
Helichrysum cassinianum,PD
Helichrysum cassinianum,PD
Helichrysum foetidum,PD
Helichrysum italicum,PD
Helichrysum patulum,PD
Helichrysum rugulosum,PD
Helichrysum scorpioides,PD
Helichrysum scorpioides,PD
Helichrysum stoechas,PD
Helicia australasica,ND
Helicia cochinchinensis,PD
Helicia formosana,ND
Helicia nilagirica,PD
Helicia reticulata,PD
Heliciopsis velutina,ND
Heliconia stricta,MPD
Heliconia velloziana,MPD
Helicopsis terminalis,PD
Helicteres jamaicensis,ND
Helicteres jamaicensis,ND
Helicteres jamaicensis,PD
Helicteres jamaicensis,PD
Helictotrichon tibeticum,PD
Helietta apiculata,ND
Helietta parvifolia,PD
Heliocarpus americanus,ND
Heliocarpus appendiculatus,ND
Heliocarpus donnell-smithii,PY
Heliocarpus popayanensis,ND
Heliophila coronopifolia,PD
Heliopsis helianthoides,PD
Heliotropium curassavicum,PD
Heliotropium europaeum,PD
Heliotropium indicum,ND
Heliotropium subulatum,PD
Heliotropium supinum,PD
Heliotropium tenellum,PD
Helipterum albicans,PD
Helipterum craspedioides,PD
Helipterum floribundum,PD
Helleborus argutifolius,MPD
Helleborus foetidus,MPD
Helleborus niger,MPD
Helleborus orientalis,MPD
Helleborusniger ,MPD
Helmholtzia glaberrima,ND
Heloniopsis orientalis,MD
Helwingia japonica,ND
Hemandradenia chevalierii,ND
Hemandradenia mannii,PD
Hemarthria sibirica,PD
Hemerocallis minor,MPD
Hemerocallis sp.,MPD
Hemiandra gardneri,PD
Hemiandra rubriflora,PD
Hemigenia exilis,PD
Hemigenia macrantha,PD
Hemigenia westringioides,PD
Hepatica acutiloba,MPD
Hepatica nobilis var. japonica,MPD
Heracleum candicans,MPD
Heracleum lanatum,MPD
Heracleum lanatum,MPD
Heracleum mantegazzianum,MPD
Heracleum millefolium,MPD
Heracleum moellendorffii,MPD
Heracleum yungningense,MPD
Herbertia lahue,MPD
Heritiera fomes,ND
Heritiera littoralis,PD
Heritiera simplicifolia,ND
Hermannia linearifolia,PY
Hernandia sonora,PD
Herrania purpurea,ND
Herrorea latipetala,ND
Hesperis matronalis,PD
Hesperochiron californicus,PD
Hesperochiron pumilus,PD
Hesperocnide sandwicensis,PD
Hesperomannia lydgatei,PD
Heteranthera dubia,PD
Heteranthera limosa,PD
Heteromeles arbutifolia,ND
Heteropanax fragrans,MD
Heteropanax fragrans,MPD
Heteropappus altaicus,PD
Heteropappus crenatifolius,PD
Heteropappus gouldii,PD
Heteropogon contortus,PD
Heteropogon triticeus,PD
Heteropteris acutifolia,ND
Heterospathe coriacea,MPD
Heterospathe minor,MPD
Heterostemon mimosoides,PY
Heterotheca villosa,ND
Heuchera cylindrica,ND
Heuchera richardsonii,PD
Heuchera richardsonii,PD
Heuchra parviflora,PD
Hevea brasilensis,ND
Hevea guianesis,ND
Hevea spp.,ND
Hevea spruceana,PD
Hexalobus crispiflorus,MPD
Hexastylis heterophylla,MPD
Heynea trijuga,PD
Hibbertia amplexicaulis,MPD
Hibbertia aurea,MPD
Hibbertia commutata,MPD
Hibbertia cuneiformis,MPD
Hibbertia cunninghamii,MPD
Hibbertia huegelii,MPD
Hibbertia hypericoides,MPD
Hibbertia miniata,MPD
Hibbertia montana,MPD
Hibbertia obtusifolia,MPD
Hibbertia ovata,MPD
Hibbertia perfoliata,MPD
Hibbertia riparia,MPD
Hibbertia scandens,MPD
Hibbertia spicata,MPD
Hibbertia stellaris,MPD
Hibbertia subvaginata,MPD
Hibbertia subvaginata,MPD
Hibbertia vaginata,MPD
Hibiscadelphus hualalaiensis,PY
Hibiscus arnottianus,PY
Hibiscus brachenridgei,PY
Hibiscus cardiophyllus,PY
Hibiscus coulteri,PY
Hibiscus divaricatus,PY
Hibiscus elatus,ND
Hibiscus elatus,PD
Hibiscus esculentus,PY
Hibiscus hamabo,PY
Hibiscus micranthus,PY
Hibiscus mutabilis,PY
Hibiscus tiliaceus,ND
Hibiscus tiliaceus,PY
Hibiscus trionum,PYPD
Hidrogaster trinerve,PY
Hieracium aurantiacum,PD
Hieracium longipilum,PD
Hieracium longipilum,PD
Hieracium pratense,PD
Hierochloe odorata,PD
Hieronyma chocoensis,PD
Hildegardia barteri,ND
Hildegardia populifolia,PY
Hillebrandia sandwicensis,ND
Hillebrandia sandwicensis,PD
Himatanthus obovatus,PD
Himatanthus sucuuba,PD
Hippeastrum bifidum,MD
Hippeastrum elegana,MD
Hippeastrum elesii,MD
Hippeastrum stylosum,MD
Hippeastrum x hybridum,MD
Hippocratea barbata,ND
Hippocratea volubilis,PD
Hippocrepis cyclocarpa,PY
Hippocrepis unisiliquosa,PY
Hippocrepis unisiliquosa,PY
Hippophae rhamnoides,PD
Hippophae rhamnoides,PD
Hippophae salicifolia,PD
Hippophae thibetana,PD
Hippuris vulgaris,PD
Hiptage benghalensis,ND
Hirtella ciliata,ND
Hirtella hebeclada,ND
Hirtella racemosa,ND
Hirtella triandra,PD
Hirtella triandra,PD
Hoffmanseggia densiflora,PY
Hoheria angustifolia,PY
Holarrhena africana,ND
Holarrhena antidysentrica,ND
Holarrhena antidysentrica,ND
Holarrhena curtisii,ND
Holarrhena pubescens,ND
Holcus lanatus,ND
Holocalyx balansae,PY
Holodiscus discolor,PD
Holodiscus dumosus,PD
Holoptelea grandis,ND
Holoptelea integrifolia,ND
Holoptelea integrifolia,ND
Holopyxidium latifolium,ND
Holosteum umbellatum,PD
Homalium aylmeri,ND
Homalium le-testui,ND
Homonoia riparia,PD
Honckenya peploides,PD
Hopea beccariana,ND
Hopea dyeri,ND
Hopea ferrea,ND
Hopea foxworthyi,ND
Hopea hainaenensis,ND
Hopea hainanensis,ND
Hopea helferi,ND
Hopea nervosa,ND
Hopea nutans,ND
Hopea odorata,ND
Hopea parviflora,ND
Hopea ponga,ND
Hopea sangal,ND
Hopea subalata,ND
Hopea whightiana,ND
Hoplestigma klaineanum,PD
Hordeum brachyantherum,ND
Hordeum glaucum,PD
Hordeum glaucum,PD
Hordeum hystrix,PD
Hordeum jubatum,PD
Hordeum jubatum,PD
Hordeum leporinum,PD
Hordeum leporinum,PD
Hordeum marinum,PD
Hordeum maritimum,PD
Hordeum maritimum,PD
Hordeum murinum,PD
Hordeum pusillum,PD
Hordeum spontaneum,PD
Hordeum turkestanicum,PD
Horkelia congesta,PD
Hornungia petraea,MPD
Horsfieldia amygdalina,MPD
Horsfieldia brachiata,MPD
Horsfieldia fulva,MPD
Horsfieldia pandurifolia,MD
Horsfieldia punctatiifolia,MPD
Horsfieldia tetratepala,MPD
Horsfieldia thorelii,MD
Horsfieldia thorelii,MPD
Horsfieldia tomentosa,MPD
Hortia arborea,ND
Hortia arborea,PD
Horwoodia dicksoniae,PD
Hosta albomarginata,MD
Hosta minor,MD
Hosta plantaginea,MPD
Hottonia inflata,PD
Hottonia palustris,PD
Hovea chorizemifolia,PY
Hovea elliptica,PY
Hovea linearis,PY
Hovea pungens,PY
Hovea stricta,PY
Hovea trisperma,PY
Hovenia dulcis,ND
Hovenia dulcis,PD
Hovenia dulcis,PY
Hovenia dulcis,PYPD
Howea forsteriana,MPD
Howellia aquatilis,PD
Hoya spp.,ND
Humboldtia decurrens,ND
Humboldtia laurifolia,PD
Humiria balsamifera b,ND
Humiria balsamifera b,PD
Humulus japonicus,PD
Hunteria corymbosa,ND
Hunteria eburnea,ND
Hunteria zeylanica,ND
Hura crepitans,ND
Hura crepitans,ND
Hura crepitans,PD
Hyacinthoides non-scripta,MPD
Hyalosperma glutinosum,PD
Hybanthus calycinus,PD
Hybanthus floribundus,PD
Hybanthus floribundus,PD
Hydnocarpus anthelmintica,ND
Hydnocarpus wightiana,ND
Hydnocarpus woodii,PD
Hydrangea arborescens,ND
Hydrangea bretchneidera,PD
Hydrangea macrophyllum,PD
Hydrangea paniculatum,PD
Hydrangea serratifolia,PD
Hydrastis canadensis,MPD
Hydrilla verticillata,ND
Hydrobryopsis sessilis,ND
Hydrocotyle callicarpa,MPD
Hydrophyllum appendiculatum,MPD
Hydrophyllum macrophyllum,MPD
Hyeronima alchoerneoides,PD
Hyeronima alchorneoides,ND
Hyeronima clusioides,PD
Hyeronima laxiflora,ND
Hygrophila auriculata,PD
Hylocereus setaceus,ND
Hylocereus undatus,ND
Hylotelephium angustum,PD
Hymenaea courbaril,ND
Hymenaea courbaril,ND
Hymenaea courbaril,PY
Hymenaea courbaril,PY
Hymenaea gonocarpa,ND
Hymenaea intermedia,PY
Hymenaea oblongifolia,ND
Hymenaea stigonocarpa,PY
Hymenocarpus circinnatus,PY
Hymenoclea salsola,PD
Hymenodictylon excelsum,ND
Hymenodictyton excelsum,ND
Hymenolobium excelsum,ND
Hymenolobium mesoamericanum,ND
Hymenolobium sericeum,ND
Hymenopappus scabiosaeus,PD
Hymenostegia afzelii,ND
Hymenostegia aubrevillei,ND
Hymenoxys linearifolia,PD
Hymenoxys odorata,PD
Hymenoxys scaposa,PD
Hyophorbe lagenicaulis,MPD
Hyoscyamus niger,PD
Hypaene petersiana,MPD
Hypaene thebaica,MPD
Hyparrhenia confinis,PD
Hyparrhenia hirta,ND
Hyparrhenia hirta,PD
Hypelate trifolia,ND
Hypericum androsaemum,PD
Hypericum ascyron,PD
Hypericum attenuatum,PD
Hypericum aviculariifolium,PD
Hypericum canariense,PD
Hypericum cumulicola,ND
Hypericum cumulicola,PD
Hypericum gentianoides,PD
Hypericum perforatum,PD
Hypericum przewalskii,PD
Hypericum quartinianum,PD
Hyphaena petersiana,MD
Hyphaena thebaica,MD
Hyphaene benguellensis,MPD
Hyphaene crinita,MPD
Hyphaene schatan,MD
Hyphaene thebaica,MPD
Hyphaene turbinata,MPD
Hypocalymma angustifolium,PD
Hypocalymma myrtifolium,PD
Hypocalymma robustum,PD
Hypocalymma tetrapterum,PD
Hypocalymma xanthopetalum,PD
Hypochaeris grandiflora,PD
Hypochaeris radicata,PD
Hypochoeris radiata,ND
Hypochoeris radiata,PD
Hypodiscus aristatus,PD
Hypodiscus neesii,PD
Hypogynium virgatum,PD
Hypolaena exsulca,PD
Hypolaena fastigiata,PD
Hypoxis hirsuta,MPD
Hyptidendron asperrimum,ND
Hyptidendron asperrimum,PD
Hyptis cana,ND
Hyptis suaveolens,ND
Hyptis suaveolens,PD
Hyptis suaveolens,PD
Hyptis suaveolens,PD
Hyssopus officinalis,PD
Hystrix patula,PD
Hystrix patula,PD
Iberis pectinata,PD
Idesia polycarpa,PD
Idiospermum australiense,PD
Ileostylus micranthus,PD
Ilex affinis,MPD
Ilex amara,MPD
Ilex anomala,MPD
Ilex aquifolium,MPD
Ilex asprella,MPD
Ilex cerasifolia,MD
Ilex cerasifolia,MPD
Ilex chapaensis,MPD
Ilex cinerea,MPD
Ilex crenata,MPD
Ilex crenata,MPD
Ilex cymosa,MPD
Ilex dipyrena,MPD
Ilex doniana,MPD
Ilex ficoidea,MPD
Ilex graciliflora,MPD
Ilex hanceana,MPD
Ilex integra d,MPD
Ilex kwangtungensis,MPD
Ilex latifolia d,MPD
Ilex limii,MPD
Ilex lohfauensis,MPD
Ilex maximowicziana,MPD
Ilex memecylifolia,MD
Ilex memecylofolia,MPD
Ilex nitida,MPD
Ilex opaca,MPD
Ilex opaca,MPD
Ilex paraguariensis,MPD
Ilex paraguariensis,MPD
Ilex pubescens,MD
Ilex rotunda,MPD
Ilex rotunda,MPD
Ilex rotunda,MPD
Ilex rubra,MPD
Ilex serrata,MPD
Ilex triflora,MPD
Ilex viridis,MPD
Ilex yunnanensis d,MPD
Iliamna corei,PY
Iliamna longisepala,PY
Iliamna rivularis,PY
Illicium floridanum,MPD
Illicium mexicanum,MPD
Illicium parviflorum,MPD
Illicium religiosum,MPD
Illicium verum,MPD
Illigera cylindrica,ND
Illigera edulis,ND
Illigera pentaphylla,ND
Illigera uruguensis,ND
Impatiens capensis,PD
Impatiens glandulifera,PD
Impatiens glandulifera,PD
Impatiens pallida,PD
Impatiens parviflora,PD
Impatiens sultani,ND
Impatiens wallerana,ND
Imperata cylindrica,PD
Incarvillea compacta,PD
Incarvillea sinensis,PD
Incarvillea sinensis,PD
Indigofera arrecta,PY
Indigofera astragalina,PY
Indigofera australis,PY
Indigofera basedowii,PY
Indigofera brevicalyx,PY
Indigofera cordifolia,PY
Indigofera cryptantha,PY
Indigofera filifolia,PY
Indigofera gerardiana,PY
Indigofera gerardiana,PY
Indigofera glandulosa,PY
Indigofera hirsuta,PY
Indigofera hochstetteri,PY
Indigofera kirilowii,PY
Indigofera lenticellata,PY
Indigofera leucotricha,PY
Indigofera linifolia,PY
Indigofera linifolia,PY
Indigofera linnaei,PY
Indigofera miniata,PY
Indigofera prieuriana,PY
Indigofera rothii,PY
Indigofera saxicola,PY
Indigofera spicata,PY
Indigofera suffruticosa,PY
Indigofera tinctoria,PY
Indigofera trita,PY
Indigofera vohemarensis,PY
Indotristicha tirnelveliana,ND
Inga acreanum,ND
Inga affinis,ND
Inga calantha,ND
Inga calderoni,ND
Inga cinnamomea,ND
Inga densiflora,ND
Inga disticha,ND
Inga disticha,PD
Inga fagifolia,ND
Inga fastuosa,ND
Inga ingoides,ND
Inga ingoides,PD
Inga insignis,ND
Inga jinicuil,ND
Inga laurina,ND
Inga laurina,ND
Inga leiocalycina,ND
Inga marginata,ND
Inga maritima,ND
Inga paterno,ND
Inga punctata,ND
Inga quaternata,ND
Inga sessilis,ND
Inga sessilis,ND
Inga sp.,ND
Inga spectablilis,ND
Inga urugensis,ND
Inga uruguensis,ND
Inga venosa,ND
Inga vera,ND
Inga vera,ND
Intsia glauca,ND
Intsia palembanica,ND
Intsia palembanica,PY
Intsia platyclados,ND
Intsia speciosa,ND
Inula britannica,PD
Inula confertiflora,ND
Inula confertiflora,PD
Inula crithmoides,PD
Ipomoea acuminata,PY
Ipomoea aquatica,PY
Ipomoea aquatica,PY
Ipomoea asarifolia,PY
Ipomoea coccinea,PY
Ipomoea coccinea,PY
Ipomoea cynanchifolia,PY
Ipomoea eriocarpa,PY
Ipomoea grandifolia,PY
Ipomoea hederacea,PY
Ipomoea hederifolia,PY
Ipomoea hederifolia,PY
Ipomoea involucrata,PY
Ipomoea lacunosa,PY
Ipomoea lonchophylla,PY
Ipomoea nil,PY
Ipomoea nil,PY
Ipomoea obscura,PY
Ipomoea pandurata,PY
Ipomoea pes-caprae,PY
Ipomoea pes-tigridis,PY
Ipomoea purpurea,PY
Ipomoea quamoclit,PY
Ipomoea quamoclit,PY
Ipomoea stolonifera,PY
Ipomoea triloba,PY
Ipomoea tuboides,ND
Ipomoea tuboides,PY
Ipomopsis sancti-spiritus,PD
Iriartea ventricosa,MPD
Iris angustifolia,MPD
Iris atrofusa,MPD
Iris dichotoma,MPD
Iris ensata,MPD
Iris goniocarpa,MPD
Iris lactea,MPD
Iris laevigata,MPD
Iris mariae,MPD
Iris missouriensis,PD
Iris pseudacorus,MPD
Iris pseudacorus,MPD
Iris setosa,MPD
Iris shrevei,PD
Iris versicolor,MPD
Iris versicolor,MPD
Iris versicolor,PD
Iris virginica,MPD
Irvingia gabonensis,ND
Irvingia gabonensis,PD
Irvingia grandifolia,PD
Irvingia ivorensis,PD
Irvingia malayana,PD
Irvingia malayana,PD
Iryanthera coriacea,MD
Iryanthera elliptica,MD
Iryanthera laevis,MD
Isachne globosa,PD
Isanthus brachiatus,PD
Isatis costata,PD
Ischaemum aristatum,PD
Ischyrolepis ocreata,PD
Ischyrolepis sieberi,PD
Ischyrolepis sieberi,PD
Ischyrolepis subverticellata,PD
Ischyrolepis subverticillata,PD
Iseilema vaginiflorum,PD
Isertia hypoleuca,PD
Isocoma drummondii,PD
Isodendrion laurifolium,ND
Isodendrion laurifolium,PD
Isodon henryi,PD
Isodon inflexus,PD
Isodon japonicus,PD
Isodon parvifolia,PD
Isolepis marginata,PD
Isomacrolobium vignei,PY
Isomeris arborea,PD
Isopogon adenanthoides,PD
Isopogon alcicornis,ND
Isopogon alcicornis,PD
Isopogon anemonifolius,PD
Isopogon asper,PD
Isopogon attenuatus,PD
Isopogon baxteri,PD
Isopogon buxifolius,PD
Isopogon ceratophyllous,PD
Isopogon cuneatus,PD
Isopogon dawsonii,PD
Isopogon divergens,PD
Isopogon formosus,PD
Isopogon latifolius,PD
Isopogon linearis,PD
Isopogon polycephalus,PD
Isopogon scaber,ND
Isopogon scabriusculus,PD
Isopogon sphaerocephalus,PD
Isopogon teretifolius,PD
Isopogon tridens,PD
Isopogon trilobus,PD
Isopogon uncinatus,ND
Isopogon villosus,PD
Isopyrum biternatum,MD
Isotoma petraea,MPD
Itea nutans,PD
Iva annua,PD
Iva annua,PD
Iva frutescens,PD
Iva imbricata,PD
Iva xanthiifolia,PD
Ixanthus viscosus,PD
Ixeridium gramineum,ND
Ixeris tamagawaensis,ND
Ixiolirion tataricum,MPD
Ixodia achillaeoides,PD
Ixonanthes icosandra,PD
Ixora gardneriana,PD
Ixora lobbi,PD
Jacaranda brasiliana,ND
Jacaranda copaia,ND
Jacaranda copaia,ND
Jacaranda copaia,PD
Jacaranda copaia,PD
Jacaranda cuspidifolia,ND
Jacaranda decurrens,ND
Jacaranda macrantha,ND
Jacaranda micrantha,ND
Jacaranda mimosifolia,ND
Jacaranda mucurosil,ND
Jacaranda puberula,ND
Jacksonia angulata,PY
Jacksonia capitata,PY
Jacksonia carduacea,PY
Jacksonia compressa,PY
Jacksonia cupulifera,PY
Jacksonia dilitata,PY
Jacksonia eremodendron,PY
Jacksonia floribunda,PY
Jacksonia furcellata,PY
Jacksonia hakeoides,PY
Jacksonia horrida,PY
Jacksonia lehmanii,PY
Jacksonia pungens,PY
Jacksonia racemosa,PY
Jacksonia scoparia,PY
Jacksonia sericea,PY
Jacksonia spinosa,PY
Jacksonia sternbergiana,PY
Jacksonia velutina,PY
Jacquemontia curtisii,PY
Jacquemontia tamnifolia,PY
Jacquinia arborea,ND
Jacquinia brasiliensis,ND
Jamesianthus alabamensis,PD
Jasminum fruticans,PD
Jatropha curcas,ND
Jatropha elliptica,ND
Jaumea carnosa,ND
Jeffersonia diphylla,MPD
Jeffersonia dubia,MPD
Jessenia bataua,MPD
Jessenia polycarpa,MPD
Joannesia hevioides,PD
Joannesia princeps,PD
Johnsonia lupulina,MPD
Johnsonia pubescens,MPD
Joinvillea ascendens,PD
Juania australis,MPD
Jubaea chilensis,MPD
Juglans cinerea,PD
Juglans jamaicensis,PD
Juglans neotropica,PD
Juglans nigra,PD
Juglans olanchana,PD
Juglans regia,PD
Julbernardia globiflora,ND
Julbernardia globiflora,PY
Juncus acutus,PD
Juncus allioides,PD
Juncus amplifolius,PD
Juncus articulatus,PD
Juncus articulatus,PD
Juncus balticus,ND
Juncus canadensis,PD
Juncus effusus,PD
Juncus ensifolius,PD
Juncus filiformis,PD
Juncus foliatum,PD
Juncus gerardii,PD
Juncus himalensis,PD
Juncus holoschoenus,PD
Juncus kraussii,ND
Juncus kraussii,PD
Juncus marginatus,PD
Juncus potaninii,PD
Juncus procerus,PD
Juncus tenuis,PD
Juncus thomsonii,PD
Juncus torreyi,PD
Juncus wallichianus,PD
Juniperus ashei,PD
Juniperus communis,PD
Juniperus communis,PD
Juniperus davurica,PD
Juniperus deppeana,PD
Juniperus horizontalis,PD
Juniperus monosperma,PD
Juniperus occidentalis,PD
Juniperus osteosperma,PD
Juniperus oxycedrus,PD
Juniperus phoenicea,PD
Juniperus pinchotii,PD
Juniperus procera,PD
Juniperus recurva,PD
Juniperus sabina,PD
Juniperus scopulorum,PD
Juniperus virginiana,PD
Jussiaea suffruticosa,PD
Justicia procumbens,PD
Kageneckia angustifolia,PD
Kagenickia angustifolia,PD
Kagenickia oblonga,ND
Kalidium cuspidatum,ND
Kalidium foliatum,PD
Kalimeris mongolica,PD
Kalmia angustifolia,ND
Kalmia cuneata,PD
Kalmia hirsuta,PD
Kalmia latifolia,ND
Kalmia latifolia,PD
Kalmia microphylla,ND
Kalmia polifolia,ND
Kalmia polifolia,PD
Kalopanax pictus,MPD
Kalopanax septemblobus,MPD
Kanaloa kahoolawensis,PY
Kantou guereensis,PD
Karwinski humboldtiana,PY
Keayodendron bridelioides,ND
Keckiella breviflora,PD
Kengyilia mutica,PD
Kennedia beckxiana,PY
Kennedia coccinea,PY
Kennedia coccinea,PY
Kennedia eximia,PY
Kennedia glabrata,PY
Kennedia macrophylla,PY
Kennedia macrophylla,PY
Kennedia microphylla,PY
Kennedia nigricans,PY
Kennedia prostrata,PY
Kennedia prostrata,PY
Kennedia prostrata,PY
Kennedia prostrata,PY
Kennedia stirlingii,PY
Kentiopsis olivaeformis,MPD
Keraudrenia integrifolia,PD
Keraudrenia lanceolata,PY
Keteleeria davidiana,PD
Khaya anthotheca,ND
Khaya grandifoliola,PD
Khaya ivorensis,ND
Khaya nyasica,ND
Khaya senegalensis,ND
Kibara coriacea,MPD
Kickxia elatine,PD
Kickxia spuria,PD
Kielmeyera coriacea,ND
Kielmeyera lathrophytum,PD
Kielmeyera membranacea,ND
Kielmeyera rubriflora,PD
Kielmeyera speciosa,ND
Kielmeyera variabilis,PD
Kigelia africana,ND
Kigelia africana,PD
Kingia australis,PD
Kirkia acuminata,ND
Klainedoxa gabonensis,PD
Knautia arvensis,PD
Knema communis,MPD
Knema curtisii,MPD
Knema furfuracea,MPD
Knema globularia,MPD
Knema hookeriana,MPD
Knema laurina,MPD
Knema malayana,MPD
Knema scortechinii,MPD
Knema stenophylla,MPD
Knightia excelsa,PD
Kobresia capilifolia,PD
Kobresia kansuensis,PD
Kobresia myosuroides,PD
Kobresia royleana,PD
Kochia americana,PD
Kochia littorea,PD
Kochia prostrata,PD
Kochia scoparia,ND
Kochia scoparia,PD
Kochia sieversiana,PD
Koeleria cristata,PD
Koeleria litvinowii,PD
Koeleria macrantha,PD
Koelreuteria henryi,ND
Koelreuteria paniculata,PYPD
Kokia drynarioides,PY
Kokoona sessilis,ND
Koompassia excelsa,ND
Koompassia malaccensis,ND
Kosteletzkya virginica,PY
Krigia gracilis,PD
Krigia oppositifolia,PD
Krugiodendron ferrum,ND
Kuhnia eupatorioides,PD
Kuhnia eupatorioides,PD
Kummerowia striata,PY
Kunzea ambigua,ND
Kunzea ambigua,PD
Kunzea baxteri,PD
Kunzea cambagei,PD
Kunzea capitata,ND
Kunzea capitata,PD
Kunzea ericoides,ND
Kunzea jucunda,PD
Kunzea pauciflora,PD
Kunzea recurva,ND
Kunzea rupestris,PD
Kydia calycina,PY
Kydia calycina,PY
Kydia glabrescens,PY
Kyllinga brevifolia,ND
Kyllinga brevifolia,ND
Labichea cassioides,PY
Labichea lanceolata,PY
Labichea punctata,PY
Labichea teretifolia,PY
Labordia tinifolia,ND
Labordia tinifolia,PD
Laccospadix australasica,MPD
Lachnostachys eriobotrya,PD
Lachnostachys verbascifolia,PD
Lacistema aggregatum,ND
Lacmellea floribunda,ND
Lacmellea panamensis,ND
Lacmellea panamensis,ND
Lacmellea panamensis,PD
Lactoris fernandeziana,MD
Lactoris fernandeziana,MPD
Lactuca canadensis,ND
Lactuca canadensis,PD
Lactuca denticulata,ND
Lactuca floridana,PD
Lactuca floridana,PD
Lactuca indica,ND
Lactuca ludoviciana,PD
Lactuca serriola,ND
Lactuca serriola,ND
Laetia corymbulosa,PD
Laetia procera,ND
Laetia procera,PD
Laetia suaveolens,ND
Laetia thamnia,ND
Lafoensia glyptocarpa,ND
Lafoensia pacari,ND
Lafoensia punicifolia,ND
Lafoensia speciosa,ND
Lagascea mollis,PD
Lagenaria siceraria,ND
Lagenifera gracilis,PD
Lagenifera mauiensis,ND
Lagerstroemia floribunda,ND
Lagerstroemia fordii,ND
Lagerstroemia fordii,PD
Lagerstroemia hypoleuca,PD
Lagerstroemia lanceolata,PD
Lagerstroemia langkawiensis,ND
Lagerstroemia parviflora,PD
Lagerstroemia parviflora,PD
Lagerstroemia speciosa,ND
Lagerstroemia speciosa,PD
Lagerstroemia tomentosa,PD
Laguncularia racemosa,ND
Lambertia echinata,ND
Lambertia fairallii,ND
Lambertia formosa,PD
Lambertia inermis,PD
Lambertia orbifolia,ND
Lamiastrum galeobdolon,PD
Lamium amplexicaule,PD
Lamium barbatum,PD
Lamium purpureum,PD
Lampranthus aureus,PD
Lampyropsis microcephala,PD
Lancea tibetica,PD
Landolphia kirkii,ND
Lannea coromandelica,PD
Lannea grandis,ND
Lannea microcarpa,PD
Lannea schweinfurthii,PD
Lannea welsitschii,ND
Lansium domesticum,ND
Lantana exerta,ND
Lantana exerta,PD
Lapageria rosea,PD
Lapageria rosea,PD
Lapeirousia rivularis,MD
Laportea bulbifera,PD
Lappula duplicicarpa,PD
Lappula echinata,PD
Lappula myosotis,PD
Lappula semiglabra,PD
Lapsana communis,PD
