"DATE","SITE","TREATMENT","TRAP","Genus.species","DormancyClass","Dispersal","Seeds"
"10/21/19","DF","CONTROL","A","Vicia sativa","PY","Endozoochory",2
"7/21/19","WP","CONTROL","A","Vicia sativa","PY","Endozoochory",1
"10/21/19","DF","MME","B","Vicia sativa","PY","Endozoochory",0
"7/21/19","WP","MME","B","Vicia sativa","PY","Endozoochory",8
"5/6/19","DF","MME","A","Vicia sativa","PY","Endozoochory",0
"10/21/19","OS","CONTROL","A","Vicia sativa","PY","Endozoochory",12
"6/1/19","OS","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"6/1/19","WP","CONTROL","A","Vicia sativa","PY","Endozoochory",0
"7/21/19","WP","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"5/6/19","GG","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"6/1/19","WP","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"10/21/19","OS","CONTROL","B","Vicia sativa","PY","Endozoochory",11
"5/6/19","OS","MME","A","Vicia sativa","PY","Endozoochory",0
"10/21/19","OS","MME","A","Vicia sativa","PY","Endozoochory",7
"10/21/19","GG","CONTROL","A","Vicia sativa","PY","Endozoochory",0
"10/21/19","DF","CONTROL","B","Vicia sativa","PY","Endozoochory",2
"5/6/19","WP","MME","B","Vicia sativa","PY","Endozoochory",0
"10/21/19","WP","CONTROL","A","Vicia sativa","PY","Endozoochory",9
"7/21/19","GG","CONTROL","A","Vicia sativa","PY","Endozoochory",1
"10/21/19","OS","MME","B","Vicia sativa","PY","Endozoochory",8
"10/21/19","GG","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"6/1/19","WP","MME","A","Vicia sativa","PY","Endozoochory",0
"10/21/19","WP","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"6/1/19","GG","MME","A","Vicia sativa","PY","Endozoochory",0
"7/21/19","DF","CONTROL","A","Vicia sativa","PY","Endozoochory",15
"10/21/19","WP","MME","B","Vicia sativa","PY","Endozoochory",2
"7/21/19","GG","MME","B","Vicia sativa","PY","Endozoochory",6
"10/21/19","DF","MME","A","Vicia sativa","PY","Endozoochory",0
"5/6/19","OS","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"6/1/19","DF","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"5/6/19","DF","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"6/1/19","OS","MME","A","Vicia sativa","PY","Endozoochory",0
"7/21/19","OS","MME","B","Vicia sativa","PY","Endozoochory",0
"5/6/19","WP","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"7/21/19","GG","MME","A","Vicia sativa","PY","Endozoochory",6
"10/21/19","WP","MME","A","Vicia sativa","PY","Endozoochory",8
"5/6/19","GG","MME","A","Vicia sativa","PY","Endozoochory",0
"7/21/19","OS","CONTROL","A","Vicia sativa","PY","Endozoochory",0
"6/1/19","GG","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"5/6/19","WP","CONTROL","A","Vicia sativa","PY","Endozoochory",0
"7/21/19","DF","MME","A","Vicia sativa","PY","Endozoochory",3
"5/6/19","DF","CONTROL","A","Vicia sativa","PY","Endozoochory",0
"6/1/19","DF","MME","A","Vicia sativa","PY","Endozoochory",0
"7/21/19","DF","CONTROL","B","Vicia sativa","PY","Endozoochory",9
"5/6/19","WP","MME","A","Vicia sativa","PY","Endozoochory",0
"5/6/19","GG","CONTROL","A","Vicia sativa","PY","Endozoochory",0
"7/21/19","DF","MME","B","Vicia sativa","PY","Endozoochory",0
"5/6/19","DF","MME","B","Vicia sativa","PY","Endozoochory",0
"6/1/19","DF","CONTROL","A","Vicia sativa","PY","Endozoochory",0
"6/1/19","WP","MME","B","Vicia sativa","PY","Endozoochory",0
"7/21/19","GG","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"6/1/19","GG","MME","B","Vicia sativa","PY","Endozoochory",0
"7/21/19","OS","CONTROL","B","Vicia sativa","PY","Endozoochory",0
"10/21/19","GG","MME","A","Vicia sativa","PY","Endozoochory",0
"6/1/19","OS","CONTROL","A","Vicia sativa","PY","Endozoochory",0
"5/6/19","OS","MME","B","Vicia sativa","PY","Endozoochory",0
"5/6/19","OS","CONTROL","A","Vicia sativa","PY","Endozoochory",0
"7/21/19","OS","MME","A","Vicia sativa","PY","Endozoochory",0
"6/1/19","OS","MME","B","Vicia sativa","PY","Endozoochory",0
"7/21/19","WP","MME","A","Vicia sativa","PY","Endozoochory",7
"5/6/19","GG","MME","B","Vicia sativa","PY","Endozoochory",0
"6/1/19","DF","MME","B","Vicia sativa","PY","Endozoochory",0
"6/1/19","GG","CONTROL","A","Vicia sativa","PY","Endozoochory",0
"10/21/19","GG","MME","B","Vicia sativa","PY","Endozoochory",0
"10/21/19","WP","MME","B","Phytolacca americana","PD","Endozoochory",0
"6/1/19","GG","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"6/1/19","WP","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"10/21/19","WP","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"6/1/19","DF","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"7/21/19","OS","MME","B","Phytolacca americana","PD","Endozoochory",3
"6/1/19","WP","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"6/1/19","OS","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"5/6/19","DF","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"10/21/19","OS","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"6/1/19","WP","MME","A","Phytolacca americana","PD","Endozoochory",0
"6/1/19","DF","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"5/6/19","GG","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"6/1/19","DF","MME","A","Phytolacca americana","PD","Endozoochory",0
"5/6/19","DF","MME","A","Phytolacca americana","PD","Endozoochory",0
"7/21/19","OS","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"6/1/19","OS","MME","A","Phytolacca americana","PD","Endozoochory",0
"6/1/19","OS","MME","B","Phytolacca americana","PD","Endozoochory",0
"10/21/19","WP","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"10/21/19","GG","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"5/6/19","GG","MME","A","Phytolacca americana","PD","Endozoochory",0
"7/21/19","GG","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"10/21/19","DF","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"5/6/19","GG","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"10/21/19","DF","MME","A","Phytolacca americana","PD","Endozoochory",0
"7/21/19","DF","MME","A","Phytolacca americana","PD","Endozoochory",0
"7/21/19","OS","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"6/1/19","OS","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"10/21/19","OS","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"6/1/19","GG","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"10/21/19","OS","MME","B","Phytolacca americana","PD","Endozoochory",1
"10/21/19","GG","MME","A","Phytolacca americana","PD","Endozoochory",0
"6/1/19","DF","MME","B","Phytolacca americana","PD","Endozoochory",0
"6/1/19","GG","MME","A","Phytolacca americana","PD","Endozoochory",0
"10/21/19","GG","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"7/21/19","WP","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"7/21/19","DF","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"7/21/19","GG","MME","B","Phytolacca americana","PD","Endozoochory",0
"6/1/19","WP","MME","B","Phytolacca americana","PD","Endozoochory",0
"5/6/19","DF","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"5/6/19","OS","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"10/21/19","DF","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"7/21/19","GG","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"10/21/19","DF","MME","B","Phytolacca americana","PD","Endozoochory",0
"5/6/19","WP","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"7/21/19","WP","MME","A","Phytolacca americana","PD","Endozoochory",0
"7/21/19","GG","MME","A","Phytolacca americana","PD","Endozoochory",0
"10/21/19","WP","MME","A","Phytolacca americana","PD","Endozoochory",0
"6/1/19","GG","MME","B","Phytolacca americana","PD","Endozoochory",0
"5/6/19","WP","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"10/21/19","GG","MME","B","Phytolacca americana","PD","Endozoochory",0
"5/6/19","GG","MME","B","Phytolacca americana","PD","Endozoochory",0
"5/6/19","OS","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"7/21/19","OS","MME","A","Phytolacca americana","PD","Endozoochory",2
"10/21/19","OS","MME","A","Phytolacca americana","PD","Endozoochory",0
"7/21/19","WP","CONTROL","A","Phytolacca americana","PD","Endozoochory",0
"5/6/19","WP","MME","A","Phytolacca americana","PD","Endozoochory",0
"7/21/19","DF","MME","B","Phytolacca americana","PD","Endozoochory",0
"5/6/19","OS","MME","A","Phytolacca americana","PD","Endozoochory",0
"5/6/19","DF","MME","B","Phytolacca americana","PD","Endozoochory",0
"7/21/19","WP","MME","B","Phytolacca americana","PD","Endozoochory",0
"5/6/19","OS","MME","B","Phytolacca americana","PD","Endozoochory",0
"7/21/19","DF","CONTROL","B","Phytolacca americana","PD","Endozoochory",0
"5/6/19","WP","MME","B","Phytolacca americana","PD","Endozoochory",0
"6/1/19","OS","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","WP","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","GG","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","DF","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","OS","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","GG","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","DF","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",1
"6/1/19","OS","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","GG","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","WP","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","OS","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","DF","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","WP","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","GG","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","WP","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","DF","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","OS","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","GG","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","DF","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","OS","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","DF","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","WP","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","WP","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","WP","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","GG","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","GG","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","WP","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","OS","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","WP","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","DF","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","DF","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","WP","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","GG","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","DF","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","WP","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","DF","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","GG","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","GG","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","DF","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","WP","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","GG","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","DF","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","WP","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","DF","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","GG","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","DF","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"6/1/19","GG","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",1
"6/1/19","WP","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","DF","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","OS","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","WP","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","GG","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","WP","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","GG","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","OS","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","DF","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","OS","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","GG","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","OS","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","OS","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","OS","CONTROL","B","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","OS","MME","B","Ambrosia trifida","PD","Dyszoochory",0
"10/21/19","OS","CONTROL","A","Ambrosia trifida","PD","Dyszoochory",0
"7/21/19","OS","MME","A","Ambrosia trifida","PD","Dyszoochory",0
"5/6/19","DF","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","WP","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","DF","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","OS","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","GG","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","OS","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","WP","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","OS","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","GG","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","DF","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","OS","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","GG","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","GG","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","GG","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","WP","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","OS","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","GG","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","OS","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","DF","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","OS","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","DF","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","GG","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","WP","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","DF","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","WP","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","WP","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","GG","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","GG","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","DF","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","DF","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",1
"7/21/19","GG","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","DF","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","OS","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","DF","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","OS","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",3
"10/21/19","GG","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","OS","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","DF","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","DF","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","WP","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","WP","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","GG","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","DF","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",12
"7/21/19","WP","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","GG","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","GG","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","OS","MME","A","Digitaria ciliaris","ND","Endozoochory",1
"10/21/19","DF","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","WP","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","GG","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","WP","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","OS","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","GG","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","WP","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","WP","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","OS","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","WP","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","OS","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"6/1/19","WP","MME","B","Digitaria ciliaris","ND","Endozoochory",0
"10/21/19","DF","MME","A","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","OS","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",0
"7/21/19","DF","CONTROL","B","Digitaria ciliaris","ND","Endozoochory",4
"7/21/19","WP","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","OS","CONTROL","A","Digitaria ciliaris","ND","Endozoochory",0
"5/6/19","GG","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","GG","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","GG","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",6
"10/21/19","OS","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","OS","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","WP","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","GG","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","WP","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","OS","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",1
"6/1/19","DF","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","WP","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",1
"7/21/19","DF","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","DF","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","OS","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","GG","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","WP","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","DF","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",1
"7/21/19","OS","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","OS","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","GG","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","OS","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","DF","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","OS","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","GG","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","WP","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","OS","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","WP","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","WP","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","GG","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","WP","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","DF","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","OS","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"5/6/19","DF","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","GG","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","OS","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","DF","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",3
"5/6/19","DF","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"7/21/19","WP","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",0
"6/1/19","GG","CONTROL","A","Dichanthelium sp.","PD","Dyszoochory",5
"10/21/19","OS","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","DF","MME","B","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","GG","MME","A","Dichanthelium sp.","PD","Dyszoochory",0
"10/21/19","WP","CONTROL","B","Dichanthelium sp.","PD","Dyszoochory",0
