"Site","Treatment","Carrion","Exclusion","Rounded.date","Date","DormancyClass","Cover"
"DF","MO","High","Open","2020-07-19","2020-07-22","PD",0.43
"DF","MO","High","Open","2020-07-19","2020-07-22","PY",0
"DF","MO","High","Open","2020-07-19","2020-07-22",NA,0.37
"DF","MO","High","Open","2021-07-18","2021-07-20","ND",0
"DF","MO","High","Open","2021-07-18","2021-07-20","PD",1.05
"DF","MO","High","Open","2021-07-18","2021-07-20","PY",0.06
"DF","MO","High","Open","2021-07-18","2021-07-20",NA,0.25
"DF","MS","High","Scavenger","2019-03-17","2019-03-14","ND",0
"DF","MS","High","Scavenger","2019-03-17","2019-03-14","PD",0.87
"DF","MS","High","Scavenger","2019-03-17","2019-03-14","PY",0
"DF","MS","High","Scavenger","2019-03-17","2019-03-14",NA,0
"DF","MS","High","Scavenger","2019-04-21","2019-04-21","ND",0
"DF","MS","High","Scavenger","2019-04-21","2019-04-21","PD",1.13
"DF","MS","High","Scavenger","2019-04-21","2019-04-21","PY",0
"DF","MS","High","Scavenger","2019-04-21","2019-04-21",NA,0.06
"DF","MS","High","Scavenger","2019-05-05","2019-05-06","ND",0
"DF","MS","High","Scavenger","2019-05-05","2019-05-06","PD",1.26
"DF","MS","High","Scavenger","2019-05-05","2019-05-06","PY",0
"DF","MS","High","Scavenger","2019-05-05","2019-05-06",NA,0.12
"DF","MS","High","Scavenger","2019-06-02","2019-06-02","ND",0
"DF","MS","High","Scavenger","2019-06-02","2019-06-02","PD",1.88
"DF","MS","High","Scavenger","2019-06-02","2019-06-02","PY",0
"DF","MS","High","Scavenger","2019-06-02","2019-06-02",NA,0.38
"DF","MS","High","Scavenger","2019-07-21","2019-07-21","ND",0.06
"DF","MS","High","Scavenger","2019-07-21","2019-07-21","PD",1.12
"DF","MS","High","Scavenger","2019-07-21","2019-07-21","PY",0.06
"DF","MS","High","Scavenger","2019-07-21","2019-07-21",NA,0.06
"DF","MS","High","Scavenger","2020-07-19","2020-07-22","ND",0
"DF","MS","High","Scavenger","2020-07-19","2020-07-22","PD",1.02
"DF","MS","High","Scavenger","2020-07-19","2020-07-22","PY",0
"DF","MS","High","Scavenger","2020-07-19","2020-07-22",NA,0
"DF","MS","High","Scavenger","2021-07-18","2021-07-20","ND",0
"DF","MS","High","Scavenger","2021-07-18","2021-07-20","PD",1.05
"DF","MS","High","Scavenger","2021-07-18","2021-07-20","PY",0.38
"DF","MS","High","Scavenger","2021-07-18","2021-07-20",NA,0.06
"DF","REF","Reference","Herbivore","2019-04-21","2019-04-22","ND",0.12
"DF","REF","Reference","Herbivore","2019-04-21","2019-04-22","PD",1.45
"DF","REF","Reference","Herbivore","2019-04-21","2019-04-22","PY",0
"DF","REF","Reference","Herbivore","2019-04-21","2019-04-22",NA,0.38
"DF","REF","Reference","Herbivore","2019-05-05","2019-05-08","ND",0.06
"DF","REF","Reference","Herbivore","2019-05-05","2019-05-08","PD",1.14
"DF","REF","Reference","Herbivore","2019-05-05","2019-05-08","PY",0
"DF","REF","Reference","Herbivore","2019-05-05","2019-05-08",NA,0.19
"DF","REF","Reference","Herbivore","2019-06-02","2019-06-02","ND",0.12
"DF","REF","Reference","Herbivore","2019-06-02","2019-06-02","PD",0.75
"DF","REF","Reference","Herbivore","2019-06-02","2019-06-02","PY",0
"DF","REF","Reference","Herbivore","2019-06-02","2019-06-02",NA,0.75
"DF","REF","Reference","Herbivore","2019-07-21","2019-07-21","ND",0.25
"DF","REF","Reference","Herbivore","2019-07-21","2019-07-21","PD",0.49
"DF","REF","Reference","Herbivore","2019-07-21","2019-07-21","PY",0.31
"DF","REF","Reference","Herbivore","2019-07-21","2019-07-21",NA,0.44
"DF","REF","Reference","Herbivore","2020-07-19","2020-07-22","ND",0.13
"DF","REF","Reference","Herbivore","2020-07-19","2020-07-22","PD",0.68
"DF","REF","Reference","Herbivore","2020-07-19","2020-07-22","PY",0.06
"DF","REF","Reference","Herbivore","2020-07-19","2020-07-22",NA,0
"DF","REF","Reference","Herbivore","2021-07-18","2021-07-20","ND",0
"DF","REF","Reference","Herbivore","2021-07-18","2021-07-20","PD",1.11
"DF","REF","Reference","Herbivore","2021-07-18","2021-07-20","PY",0.12
"DF","REF","Reference","Herbivore","2021-07-18","2021-07-20",NA,0.25
"GG","CH","Low","Herbivore","2019-03-17","2019-03-14","ND",0
"GG","CH","Low","Herbivore","2019-03-17","2019-03-14","PD",1.5
"GG","CH","Low","Herbivore","2019-03-17","2019-03-14","PY",0
"GG","CH","Low","Herbivore","2019-03-17","2019-03-14",NA,0.68
"GG","CH","Low","Herbivore","2019-04-21","2019-04-21","ND",0.06
"GG","CH","Low","Herbivore","2019-04-21","2019-04-21","PD",1.05
"GG","CH","Low","Herbivore","2019-04-21","2019-04-21","PY",0.31
"GG","CH","Low","Herbivore","2019-04-21","2019-04-21",NA,0.06
"GG","CH","Low","Herbivore","2019-05-05","2019-05-06","ND",0
"GG","CH","Low","Herbivore","2019-05-05","2019-05-06","PD",1.57
"GG","CH","Low","Herbivore","2019-05-05","2019-05-06","PY",0.13
"GG","CH","Low","Herbivore","2019-05-05","2019-05-06",NA,0.06
"GG","CH","Low","Herbivore","2019-06-02","2019-06-02","ND",0
"GG","CH","Low","Herbivore","2019-06-02","2019-06-02","PD",2.07
"GG","CH","Low","Herbivore","2019-06-02","2019-06-02","PY",0
"GG","CH","Low","Herbivore","2019-06-02","2019-06-02",NA,0.25
"GG","CH","Low","Herbivore","2019-07-21","2019-07-21","ND",0
"GG","CH","Low","Herbivore","2019-07-21","2019-07-21","PD",1.37
"GG","CH","Low","Herbivore","2019-07-21","2019-07-21","PY",0
"GG","CH","Low","Herbivore","2019-07-21","2019-07-21",NA,0.13
"GG","CH","Low","Herbivore","2020-07-19","2020-07-22","ND",0
"GG","CH","Low","Herbivore","2020-07-19","2020-07-22","PD",1
"GG","CH","Low","Herbivore","2020-07-19","2020-07-22","PY",0
"GG","CH","Low","Herbivore","2020-07-19","2020-07-22",NA,0
"GG","CH","Low","Herbivore","2021-07-18","2021-07-21","ND",0.12
"GG","CH","Low","Herbivore","2021-07-18","2021-07-21","PD",1.49
"GG","CH","Low","Herbivore","2021-07-18","2021-07-21","PY",0
"GG","CH","Low","Herbivore","2021-07-18","2021-07-21",NA,0.18
"GG","CO","Low","Open","2019-03-17","2019-03-14","ND",0
"GG","CO","Low","Open","2019-03-17","2019-03-14","PD",1.57
"GG","CO","Low","Open","2019-03-17","2019-03-14","PY",0
"GG","CO","Low","Open","2019-03-17","2019-03-14",NA,0.06
"GG","CO","Low","Open","2019-04-21","2019-04-21","ND",0
"GG","CO","Low","Open","2019-04-21","2019-04-21","PD",1.24
"GG","CO","Low","Open","2019-04-21","2019-04-21","PY",0.06
"GG","CO","Low","Open","2019-04-21","2019-04-21",NA,0.12
"GG","CO","Low","Open","2019-05-05","2019-05-06","ND",0
"GG","CO","Low","Open","2019-05-05","2019-05-06","PD",1.06
"GG","CO","Low","Open","2019-05-05","2019-05-06","PY",0.06
"GG","CO","Low","Open","2019-05-05","2019-05-06",NA,0.12
"GG","CO","Low","Open","2019-06-02","2019-06-02","ND",0
"GG","CO","Low","Open","2019-06-02","2019-06-02","PD",1.5
"GG","CO","Low","Open","2019-06-02","2019-06-02","PY",0
"GG","CO","Low","Open","2019-06-02","2019-06-02",NA,0.5
"GG","CO","Low","Open","2019-07-21","2019-07-21","ND",0.06
"GG","CO","Low","Open","2019-07-21","2019-07-21","PD",0.95
"GG","CO","Low","Open","2019-07-21","2019-07-21","PY",0
"GG","CO","Low","Open","2019-07-21","2019-07-21",NA,0.31
"GG","CO","Low","Open","2020-07-19","2020-07-22","ND",0
"GG","CO","Low","Open","2020-07-19","2020-07-22","PD",0.75
"GG","CO","Low","Open","2020-07-19","2020-07-22","PY",0.06
"GG","CO","Low","Open","2020-07-19","2020-07-22",NA,0.13
"GG","CO","Low","Open","2021-07-18","2021-07-21","ND",0
"GG","CO","Low","Open","2021-07-18","2021-07-21","PD",1.36
"GG","CO","Low","Open","2021-07-18","2021-07-21","PY",0.06
"GG","CO","Low","Open","2021-07-18","2021-07-21",NA,0.5
"GG","CS","Low","Scavenger","2019-03-17","2019-03-14","ND",0
"GG","CS","Low","Scavenger","2019-03-17","2019-03-14","PD",1.44
"GG","CS","Low","Scavenger","2019-03-17","2019-03-14","PY",0
"GG","CS","Low","Scavenger","2019-03-17","2019-03-14",NA,0.19
"GG","CS","Low","Scavenger","2019-04-21","2019-04-21","ND",0.06
"GG","CS","Low","Scavenger","2019-04-21","2019-04-21","PD",0.87
"GG","CS","Low","Scavenger","2019-04-21","2019-04-21","PY",0
"GG","CS","Low","Scavenger","2019-04-21","2019-04-21",NA,0.44
"GG","CS","Low","Scavenger","2019-05-05","2019-05-06","ND",0.06
"GG","CS","Low","Scavenger","2019-05-05","2019-05-06","PD",0.93
"GG","CS","Low","Scavenger","2019-05-05","2019-05-06","PY",0.06
"GG","CS","Low","Scavenger","2019-05-05","2019-05-06",NA,0.25
"GG","CS","Low","Scavenger","2019-06-02","2019-06-02","ND",0.06
"GG","CS","Low","Scavenger","2019-06-02","2019-06-02","PD",0.95
"GG","CS","Low","Scavenger","2019-06-02","2019-06-02","PY",0.06
"GG","CS","Low","Scavenger","2019-06-02","2019-06-02",NA,0.62
"GG","CS","Low","Scavenger","2019-07-21","2019-07-21","ND",0
"GG","CS","Low","Scavenger","2019-07-21","2019-07-21","PD",0.57
"GG","CS","Low","Scavenger","2019-07-21","2019-07-21","PY",0
"GG","CS","Low","Scavenger","2019-07-21","2019-07-21",NA,0.75
"GG","CS","Low","Scavenger","2020-07-19","2020-07-22","ND",0
"GG","CS","Low","Scavenger","2020-07-19","2020-07-22","PD",0.77
"GG","CS","Low","Scavenger","2020-07-19","2020-07-22","PY",0.06
"GG","CS","Low","Scavenger","2020-07-19","2020-07-22",NA,0.38
"GG","CS","Low","Scavenger","2021-07-18","2021-07-21","ND",0
"GG","CS","Low","Scavenger","2021-07-18","2021-07-21","PD",1.42
"GG","CS","Low","Scavenger","2021-07-18","2021-07-21","PY",0
"GG","CS","Low","Scavenger","2021-07-18","2021-07-21",NA,0.67
"GG","MH","High","Herbivore","2019-03-17","2019-03-14","ND",0
"GG","MH","High","Herbivore","2019-03-17","2019-03-14","PD",0.86
"GG","MH","High","Herbivore","2019-03-17","2019-03-14","PY",0
"GG","MH","High","Herbivore","2019-03-17","2019-03-14",NA,0.38
"GG","MH","High","Herbivore","2019-04-21","2019-04-21","ND",0
"GG","MH","High","Herbivore","2019-04-21","2019-04-21","PD",0.94
"GG","MH","High","Herbivore","2019-04-21","2019-04-21","PY",0.13
"GG","MH","High","Herbivore","2019-04-21","2019-04-21",NA,0
"GG","MH","High","Herbivore","2019-05-05","2019-05-06","ND",0
"GG","MH","High","Herbivore","2019-05-05","2019-05-06","PD",1.06
"GG","MH","High","Herbivore","2019-05-05","2019-05-06","PY",0
"GG","MH","High","Herbivore","2019-05-05","2019-05-06",NA,0.06
"GG","MH","High","Herbivore","2019-06-02","2019-06-02","ND",0
"GG","MH","High","Herbivore","2019-06-02","2019-06-02","PD",1.18
"GG","MH","High","Herbivore","2019-06-02","2019-06-02","PY",0
"GG","MH","High","Herbivore","2019-06-02","2019-06-02",NA,0.31
"GG","MH","High","Herbivore","2019-07-21","2019-07-21","ND",0
"GG","MH","High","Herbivore","2019-07-21","2019-07-21","PD",0.88
"GG","MH","High","Herbivore","2019-07-21","2019-07-21","PY",0.06
"GG","MH","High","Herbivore","2019-07-21","2019-07-21",NA,0.5
"GG","MH","High","Herbivore","2020-07-19","2020-07-22","ND",0.06
"GG","MH","High","Herbivore","2020-07-19","2020-07-22","PD",0.74
"GG","MH","High","Herbivore","2020-07-19","2020-07-22","PY",0
"GG","MH","High","Herbivore","2020-07-19","2020-07-22",NA,0
"GG","MH","High","Herbivore","2021-07-18","2021-07-21","ND",0.68
"GG","MH","High","Herbivore","2021-07-18","2021-07-21","PD",0.87
"GG","MH","High","Herbivore","2021-07-18","2021-07-21","PY",0
"GG","MH","High","Herbivore","2021-07-18","2021-07-21",NA,0.43
"GG","MO","High","Open","2019-03-17","2019-03-14","ND",0
"GG","MO","High","Open","2019-03-17","2019-03-14","PD",1.19
"GG","MO","High","Open","2019-03-17","2019-03-14","PY",0
"GG","MO","High","Open","2019-03-17","2019-03-14",NA,0.38
"GG","MO","High","Open","2019-04-21","2019-04-21","ND",0
"GG","MO","High","Open","2019-04-21","2019-04-21","PD",1.31
"GG","MO","High","Open","2019-04-21","2019-04-21","PY",0.19
"GG","MO","High","Open","2019-04-21","2019-04-21",NA,0.12
"GG","MO","High","Open","2019-05-05","2019-05-06","ND",0
"GG","MO","High","Open","2019-05-05","2019-05-06","PD",1.62
"GG","MO","High","Open","2019-05-05","2019-05-06","PY",0.06
"GG","MO","High","Open","2019-05-05","2019-05-06",NA,0
"GG","MO","High","Open","2019-06-02","2019-06-02","ND",0
"GG","MO","High","Open","2019-06-02","2019-06-02","PD",2.18
"GG","MO","High","Open","2019-06-02","2019-06-02","PY",0
"GG","MO","High","Open","2019-06-02","2019-06-02",NA,0.12
"GG","MO","High","Open","2019-07-21","2019-07-21","ND",0
"GG","MO","High","Open","2019-07-21","2019-07-21","PD",1.31
"GG","MO","High","Open","2019-07-21","2019-07-21","PY",0.13
"GG","MO","High","Open","2019-07-21","2019-07-21",NA,0.13
"GG","MO","High","Open","2020-07-19","2020-07-22","ND",0
"GG","MO","High","Open","2020-07-19","2020-07-22","PD",1.13
"GG","MO","High","Open","2020-07-19","2020-07-22","PY",0.06
"GG","MO","High","Open","2020-07-19","2020-07-22",NA,0
"GG","MO","High","Open","2021-07-18","2021-07-21","ND",0
"GG","MO","High","Open","2021-07-18","2021-07-21","PD",2.32
"GG","MO","High","Open","2021-07-18","2021-07-21","PY",0
"GG","MO","High","Open","2021-07-18","2021-07-21",NA,0
"GG","MS","High","Scavenger","2019-03-17","2019-03-14","ND",0
"GG","MS","High","Scavenger","2019-03-17","2019-03-14","PD",1.19
"GG","MS","High","Scavenger","2019-03-17","2019-03-14","PY",0
"GG","MS","High","Scavenger","2019-03-17","2019-03-14",NA,0.06
"GG","MS","High","Scavenger","2019-04-21","2019-04-21","ND",0
"GG","MS","High","Scavenger","2019-04-21","2019-04-21","PD",0.83
"GG","MS","High","Scavenger","2019-04-21","2019-04-21","PY",0
"GG","MS","High","Scavenger","2019-04-21","2019-04-21",NA,0.12
"GG","MS","High","Scavenger","2019-05-05","2019-05-06","ND",0
"GG","MS","High","Scavenger","2019-05-05","2019-05-06","PD",0.81
"GG","MS","High","Scavenger","2019-05-05","2019-05-06","PY",0
"GG","MS","High","Scavenger","2019-05-05","2019-05-06",NA,0.12
"GG","MS","High","Scavenger","2019-06-02","2019-06-02","ND",0
"GG","MS","High","Scavenger","2019-06-02","2019-06-02","PD",0.81
"GG","MS","High","Scavenger","2019-06-02","2019-06-02","PY",0
"GG","MS","High","Scavenger","2019-06-02","2019-06-02",NA,0.5
"GG","MS","High","Scavenger","2019-07-21","2019-07-21","ND",0
"GG","MS","High","Scavenger","2019-07-21","2019-07-21","PD",0.62
"GG","MS","High","Scavenger","2019-07-21","2019-07-21","PY",0
"GG","MS","High","Scavenger","2019-07-21","2019-07-21",NA,0.5
"GG","MS","High","Scavenger","2020-07-19","2020-07-22","ND",0
"GG","MS","High","Scavenger","2020-07-19","2020-07-22","PD",1.07
"GG","MS","High","Scavenger","2020-07-19","2020-07-22","PY",0.13
"GG","MS","High","Scavenger","2020-07-19","2020-07-22",NA,0
"GG","MS","High","Scavenger","2021-07-18","2021-07-21","ND",0.06
"GG","MS","High","Scavenger","2021-07-18","2021-07-21","PD",1.36
"GG","MS","High","Scavenger","2021-07-18","2021-07-21","PY",0
"GG","MS","High","Scavenger","2021-07-18","2021-07-21",NA,0.74
"GG","REF","Reference","Herbivore","2019-04-21","2019-04-22","ND",0
"GG","REF","Reference","Herbivore","2019-04-21","2019-04-22","PD",1.25
"GG","REF","Reference","Herbivore","2019-04-21","2019-04-22","PY",0
"GG","REF","Reference","Herbivore","2019-04-21","2019-04-22",NA,0.17
"GG","REF","Reference","Herbivore","2019-05-05","2019-05-08","ND",0
"GG","REF","Reference","Herbivore","2019-05-05","2019-05-08","PD",1.61
"GG","REF","Reference","Herbivore","2019-05-05","2019-05-08","PY",0.06
"GG","REF","Reference","Herbivore","2019-05-05","2019-05-08",NA,0.06
"GG","REF","Reference","Herbivore","2019-06-02","2019-06-02","ND",0
"GG","REF","Reference","Herbivore","2019-06-02","2019-06-02","PD",1.37
"GG","REF","Reference","Herbivore","2019-06-02","2019-06-02","PY",0
"GG","REF","Reference","Herbivore","2019-06-02","2019-06-02",NA,0.31
"GG","REF","Reference","Herbivore","2019-07-21","2019-07-21","ND",0.06
"GG","REF","Reference","Herbivore","2019-07-21","2019-07-21","PD",1.18
"GG","REF","Reference","Herbivore","2019-07-21","2019-07-21","PY",0
"GG","REF","Reference","Herbivore","2019-07-21","2019-07-21",NA,0.13
"GG","REF","Reference","Herbivore","2020-07-19","2020-07-22","ND",0
"GG","REF","Reference","Herbivore","2020-07-19","2020-07-22","PD",1.07
"GG","REF","Reference","Herbivore","2020-07-19","2020-07-22","PY",0
"GG","REF","Reference","Herbivore","2020-07-19","2020-07-22",NA,0
"GG","REF","Reference","Herbivore","2021-07-18","2021-07-21","ND",0
"GG","REF","Reference","Herbivore","2021-07-18","2021-07-21","PD",1.29
"GG","REF","Reference","Herbivore","2021-07-18","2021-07-21","PY",0
"GG","REF","Reference","Herbivore","2021-07-18","2021-07-21",NA,0.31
"OS","CH","Low","Herbivore","2019-03-17","2019-03-14","ND",0
"OS","CH","Low","Herbivore","2019-03-17","2019-03-14","PD",1.57
"OS","CH","Low","Herbivore","2019-03-17","2019-03-14","PY",0
"OS","CH","Low","Herbivore","2019-03-17","2019-03-14",NA,0.06
"OS","CH","Low","Herbivore","2019-04-21","2019-04-21","ND",0
"OS","CH","Low","Herbivore","2019-04-21","2019-04-21","PD",1.62
"OS","CH","Low","Herbivore","2019-04-21","2019-04-21","PY",0.06
"OS","CH","Low","Herbivore","2019-04-21","2019-04-21",NA,0
"OS","CH","Low","Herbivore","2019-05-05","2019-05-06","ND",0
"OS","CH","Low","Herbivore","2019-05-05","2019-05-06","PD",1.49
"OS","CH","Low","Herbivore","2019-05-05","2019-05-06","PY",0
"OS","CH","Low","Herbivore","2019-05-05","2019-05-06",NA,0
