"Rounded.date","Site","Treatment","Carrion","Exclusion","Genus.species","DormancyClass","Cover"
2019-05-05,"DF","MS","High","Scavenger","Aegilops cylindrica","PD",0.69
2019-04-21,"OS","MS","High","Scavenger","Aegilops cylindrica","PD",0.19
2021-07-18,"GG","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.12
2019-05-05,"DF","CH","Low","Herbivore","Aegilops cylindrica","PD",0.06
2019-06-02,"OS","CH","Low","Herbivore","Aegilops cylindrica","PD",0.06
2019-06-02,"WP","CH","Low","Herbivore","Aegilops cylindrica","PD",0.06
2021-07-18,"DF","CH","Low","Herbivore","Aegilops cylindrica","PD",0.19
2019-03-17,"GG","MO","High","Open","Aegilops cylindrica","PD",0.44
2019-06-02,"DF","MO","High","Open","Aegilops cylindrica","PD",0
2019-07-21,"DF","CO","Low","Open","Aegilops cylindrica","PD",0.38
2019-03-17,"DF","MS","High","Scavenger","Aegilops cylindrica","PD",0.38
2019-06-02,"GG","MO","High","Open","Aegilops cylindrica","PD",0.31
2020-07-19,"DF","CO","Low","Open","Aegilops cylindrica","PD",0.44
2019-06-02,"WP","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2019-03-17,"DF","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2020-07-19,"WP","CH","Low","Herbivore","Aegilops cylindrica","PD",0.06
2019-04-21,"WP","MH","High","Herbivore","Aegilops cylindrica","PD",0.06
2021-07-18,"DF","MH","High","Herbivore","Aegilops cylindrica","PD",0
2020-07-19,"DF","CH","Low","Herbivore","Aegilops cylindrica","PD",0.06
2019-07-21,"GG","CH","Low","Herbivore","Aegilops cylindrica","PD",0.06
2019-06-02,"WP","MH","High","Herbivore","Aegilops cylindrica","PD",0
2019-03-17,"DF","CO","Low","Open","Aegilops cylindrica","PD",0
2021-07-18,"WP","MH","High","Herbivore","Aegilops cylindrica","PD",0
2019-04-21,"DF","CO","Low","Open","Aegilops cylindrica","PD",0.75
2019-03-17,"OS","MS","High","Scavenger","Aegilops cylindrica","PD",0.25
2019-04-21,"WP","MO","High","Open","Aegilops cylindrica","PD",0
2019-06-02,"GG","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.31
2019-05-05,"DF","MH","High","Herbivore","Aegilops cylindrica","PD",0.25
2019-06-02,"OS","MS","High","Scavenger","Aegilops cylindrica","PD",0.13
2020-07-19,"WP","MO","High","Open","Aegilops cylindrica","PD",0
2020-07-19,"DF","MH","High","Herbivore","Aegilops cylindrica","PD",0
2019-05-05,"GG","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2019-04-21,"OS","CH","Low","Herbivore","Aegilops cylindrica","PD",0.5
2019-06-02,"OS","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.69
2019-07-21,"OS","CH","Low","Herbivore","Aegilops cylindrica","PD",0
2020-07-19,"OS","CH","Low","Herbivore","Aegilops cylindrica","PD",0.13
2021-07-18,"GG","CS","Low","Scavenger","Aegilops cylindrica","PD",0.12
2020-07-19,"WP","MS","High","Scavenger","Aegilops cylindrica","PD",0
2019-03-17,"GG","MH","High","Herbivore","Aegilops cylindrica","PD",0.19
2019-04-21,"DF","MS","High","Scavenger","Aegilops cylindrica","PD",0.88
2019-05-05,"WP","CH","Low","Herbivore","Aegilops cylindrica","PD",0.06
2019-07-21,"WP","REF","Reference","Herbivore","Aegilops cylindrica","PD",0
2019-06-02,"DF","MS","High","Scavenger","Aegilops cylindrica","PD",0.44
2020-07-19,"OS","CO","Low","Open","Aegilops cylindrica","PD",0
2021-07-18,"OS","MS","High","Scavenger","Aegilops cylindrica","PD",0.12
2019-06-02,"DF","CH","Low","Herbivore","Aegilops cylindrica","PD",0
2021-07-18,"GG","MH","High","Herbivore","Aegilops cylindrica","PD",0.31
2019-07-21,"DF","CH","Low","Herbivore","Aegilops cylindrica","PD",0
2019-05-05,"DF","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.19
2019-05-05,"GG","MO","High","Open","Aegilops cylindrica","PD",0.56
2019-06-02,"DF","REF","Reference","Herbivore","Aegilops cylindrica","PD",0
2019-05-05,"DF","CO","Low","Open","Aegilops cylindrica","PD",0.75
2020-07-19,"DF","REF","Reference","Herbivore","Aegilops cylindrica","PD",0
2021-07-18,"DF","REF","Reference","Herbivore","Aegilops cylindrica","PD",0
2019-07-21,"OS","MH","High","Herbivore","Aegilops cylindrica","PD",0.31
2019-07-21,"WP","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2019-04-21,"DF","CS","Low","Scavenger","Aegilops cylindrica","PD",0.56
2021-07-18,"WP","CH","Low","Herbivore","Aegilops cylindrica","PD",0.12
2019-05-05,"WP","MH","High","Herbivore","Aegilops cylindrica","PD",0
2019-06-02,"GG","CH","Low","Herbivore","Aegilops cylindrica","PD",0.19
2019-05-05,"OS","MO","High","Open","Aegilops cylindrica","PD",0
2020-07-19,"GG","CH","Low","Herbivore","Aegilops cylindrica","PD",0.06
2020-07-19,"DF","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2020-07-19,"OS","MO","High","Open","Aegilops cylindrica","PD",0
2019-04-21,"GG","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.42
2019-03-17,"DF","MH","High","Herbivore","Aegilops cylindrica","PD",0
2019-04-21,"DF","MH","High","Herbivore","Aegilops cylindrica","PD",0.38
2019-05-05,"GG","CO","Low","Open","Aegilops cylindrica","PD",0.56
2019-07-21,"GG","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.06
2019-05-05,"WP","MO","High","Open","Aegilops cylindrica","PD",0.06
2020-07-19,"GG","REF","Reference","Herbivore","Aegilops cylindrica","PD",0
2021-07-18,"WP","MO","High","Open","Aegilops cylindrica","PD",0
2019-05-05,"OS","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.81
2019-05-05,"OS","CH","Low","Herbivore","Aegilops cylindrica","PD",0.06
2019-06-02,"GG","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2019-07-21,"GG","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2019-06-02,"WP","MS","High","Scavenger","Aegilops cylindrica","PD",0
2019-07-21,"DF","MO","High","Open","Aegilops cylindrica","PD",0
2019-03-17,"WP","CH","Low","Herbivore","Aegilops cylindrica","PD",0.13
2019-04-21,"OS","CO","Low","Open","Aegilops cylindrica","PD",0.31
2019-05-05,"OS","CO","Low","Open","Aegilops cylindrica","PD",0.19
2019-05-05,"GG","MH","High","Herbivore","Aegilops cylindrica","PD",0.06
2019-06-02,"OS","CO","Low","Open","Aegilops cylindrica","PD",0.13
2020-07-19,"WP","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.06
2021-07-18,"OS","CO","Low","Open","Aegilops cylindrica","PD",0.12
2019-05-05,"WP","CO","Low","Open","Aegilops cylindrica","PD",0
2019-03-17,"WP","CO","Low","Open","Aegilops cylindrica","PD",0
2019-06-02,"WP","CO","Low","Open","Aegilops cylindrica","PD",0
2019-05-05,"OS","CS","Low","Scavenger","Aegilops cylindrica","PD",0.38
2019-07-21,"WP","CO","Low","Open","Aegilops cylindrica","PD",0
2021-07-18,"GG","CH","Low","Herbivore","Aegilops cylindrica","PD",0.12
2019-07-21,"DF","REF","Reference","Herbivore","Aegilops cylindrica","PD",0
2021-07-18,"WP","CO","Low","Open","Aegilops cylindrica","PD",0
2019-07-21,"GG","MO","High","Open","Aegilops cylindrica","PD",0
2019-04-21,"OS","MH","High","Herbivore","Aegilops cylindrica","PD",0.56
2019-03-17,"GG","CH","Low","Herbivore","Aegilops cylindrica","PD",0.13
2020-07-19,"OS","MH","High","Herbivore","Aegilops cylindrica","PD",0.13
2020-07-19,"WP","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2019-05-05,"DF","CS","Low","Scavenger","Aegilops cylindrica","PD",0.31
2021-07-18,"WP","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2019-06-02,"DF","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2019-07-21,"DF","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2019-07-21,"WP","MH","High","Herbivore","Aegilops cylindrica","PD",0
2019-07-21,"OS","CS","Low","Scavenger","Aegilops cylindrica","PD",0.19
2019-03-17,"WP","MO","High","Open","Aegilops cylindrica","PD",0.25
2019-03-17,"GG","CO","Low","Open","Aegilops cylindrica","PD",0.25
2019-04-21,"GG","CO","Low","Open","Aegilops cylindrica","PD",0.69
2019-07-21,"GG","CO","Low","Open","Aegilops cylindrica","PD",0.13
2019-06-02,"GG","CO","Low","Open","Aegilops cylindrica","PD",0.5
2020-07-19,"GG","MO","High","Open","Aegilops cylindrica","PD",0.13
2019-06-02,"GG","MH","High","Herbivore","Aegilops cylindrica","PD",0
2019-07-21,"DF","MS","High","Scavenger","Aegilops cylindrica","PD",0.19
2019-04-21,"OS","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.63
2019-03-17,"OS","CS","Low","Scavenger","Aegilops cylindrica","PD",0.38
2019-04-21,"DF","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.56
2019-07-21,"OS","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.31
2019-06-02,"OS","MO","High","Open","Aegilops cylindrica","PD",0
2021-07-18,"OS","CH","Low","Herbivore","Aegilops cylindrica","PD",0.12
2019-07-21,"WP","MS","High","Scavenger","Aegilops cylindrica","PD",0
2019-03-17,"OS","CO","Low","Open","Aegilops cylindrica","PD",0.25
2019-04-21,"GG","MH","High","Herbivore","Aegilops cylindrica","PD",0.13
2019-05-05,"WP","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.19
2020-07-19,"GG","CO","Low","Open","Aegilops cylindrica","PD",0
2019-05-05,"WP","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2019-04-21,"GG","CH","Low","Herbivore","Aegilops cylindrica","PD",0.25
2021-07-18,"WP","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.19
2019-03-17,"WP","MH","High","Herbivore","Aegilops cylindrica","PD",0
2019-03-17,"OS","MO","High","Open","Aegilops cylindrica","PD",0
2019-04-21,"OS","CS","Low","Scavenger","Aegilops cylindrica","PD",0.13
2019-06-02,"OS","CS","Low","Scavenger","Aegilops cylindrica","PD",0.25
2019-07-21,"GG","MS","High","Scavenger","Aegilops cylindrica","PD",0
2020-07-19,"WP","CO","Low","Open","Aegilops cylindrica","PD",0
2021-07-18,"OS","CS","Low","Scavenger","Aegilops cylindrica","PD",0.25
2019-03-17,"WP","CS","Low","Scavenger","Aegilops cylindrica","PD",0
2019-03-17,"OS","MH","High","Herbivore","Aegilops cylindrica","PD",0.44
2019-07-21,"GG","MH","High","Herbivore","Aegilops cylindrica","PD",0
2019-04-21,"WP","CS","Low","Scavenger","Aegilops cylindrica","PD",0.13
2019-05-05,"OS","MH","High","Herbivore","Aegilops cylindrica","PD",0.63
2021-07-18,"OS","MH","High","Herbivore","Aegilops cylindrica","PD",0.31
2019-06-02,"GG","MS","High","Scavenger","Aegilops cylindrica","PD",0
2021-07-18,"DF","MS","High","Scavenger","Aegilops cylindrica","PD",0.5
2019-04-21,"OS","MO","High","Open","Aegilops cylindrica","PD",0.13
2019-04-21,"GG","MS","High","Scavenger","Aegilops cylindrica","PD",0
2019-07-21,"OS","CO","Low","Open","Aegilops cylindrica","PD",0
2021-07-18,"DF","CS","Low","Scavenger","Aegilops cylindrica","PD",0.06
2020-07-19,"GG","MS","High","Scavenger","Aegilops cylindrica","PD",0
2021-07-18,"GG","MS","High","Scavenger","Aegilops cylindrica","PD",0
2020-07-19,"GG","MH","High","Herbivore","Aegilops cylindrica","PD",0.06
2019-06-02,"OS","MH","High","Herbivore","Aegilops cylindrica","PD",0.38
2019-05-05,"GG","CH","Low","Herbivore","Aegilops cylindrica","PD",0.13
2019-04-21,"WP","CO","Low","Open","Aegilops cylindrica","PD",0.19
2021-07-18,"OS","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.44
2021-07-18,"GG","MO","High","Open","Aegilops cylindrica","PD",0.38
2020-07-19,"GG","CS","Low","Scavenger","Aegilops cylindrica","PD",0.06
2020-07-19,"OS","CS","Low","Scavenger","Aegilops cylindrica","PD",0.19
2020-07-19,"DF","MS","High","Scavenger","Aegilops cylindrica","PD",0.13
2019-03-17,"GG","MS","High","Scavenger","Aegilops cylindrica","PD",0.06
2019-05-05,"GG","MS","High","Scavenger","Aegilops cylindrica","PD",0
2019-07-21,"OS","MO","High","Open","Aegilops cylindrica","PD",0
2020-07-19,"OS","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.19
2019-05-05,"OS","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2020-07-19,"WP","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-06-02,"OS","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-03-17,"WP","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2021-07-18,"WP","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2019-06-02,"WP","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-04-21,"OS","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2021-07-18,"WP","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2019-05-05,"GG","MO","High","Open","Amphiachyris dracunculoides","ND",0
2021-07-18,"OS","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2020-07-19,"OS","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2021-07-18,"WP","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-07-21,"WP","MO","High","Open","Amphiachyris dracunculoides","ND",0.44
2019-07-21,"WP","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2020-07-19,"WP","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2021-07-18,"WP","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-06-02,"WP","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2019-04-21,"WP","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-06-02,"OS","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2019-07-21,"OS","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-07-21,"WP","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0.44
2019-03-17,"WP","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-03-17,"OS","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-05-05,"DF","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-04-21,"WP","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-06-02,"WP","MO","High","Open","Amphiachyris dracunculoides","ND",0.13
2021-07-18,"GG","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2019-03-17,"GG","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-03-17,"OS","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2020-07-19,"WP","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-05-05,"DF","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2019-06-02,"GG","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-06-02,"GG","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-07-21,"WP","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0.06
2021-07-18,"DF","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2020-07-19,"OS","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2019-05-05,"GG","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-06-02,"WP","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2019-04-21,"WP","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-07-21,"WP","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-06-02,"GG","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2021-07-18,"GG","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2020-07-19,"OS","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-03-17,"DF","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-05-05,"OS","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-05-05,"WP","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-07-21,"GG","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2020-07-19,"DF","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0.13
2019-04-21,"GG","MO","High","Open","Amphiachyris dracunculoides","ND",0
2021-07-18,"OS","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-07-21,"OS","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2019-06-02,"DF","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-06-02,"GG","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-07-21,"DF","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0.06
2019-07-21,"GG","MO","High","Open","Amphiachyris dracunculoides","ND",0
2021-07-18,"DF","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-03-17,"WP","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-04-21,"DF","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-05-05,"DF","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2019-07-21,"GG","CO","Low","Open","Amphiachyris dracunculoides","ND",0.06
2019-06-02,"DF","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0.06
2019-06-02,"WP","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0.06
2019-03-17,"GG","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-04-21,"GG","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-06-02,"DF","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-06-02,"GG","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-06-02,"OS","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0.06
2019-07-21,"GG","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-05-05,"WP","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-04-21,"GG","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-04-21,"OS","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-05-05,"GG","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-06-02,"DF","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2019-05-05,"WP","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-07-21,"OS","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2020-07-19,"GG","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2020-07-19,"WP","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0.25
2019-03-17,"DF","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-04-21,"OS","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-05-05,"OS","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-05-05,"WP","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2019-06-02,"WP","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2020-07-19,"WP","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2019-07-21,"OS","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-03-17,"WP","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-06-02,"GG","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-05-05,"DF","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-06-02,"WP","CO","Low","Open","Amphiachyris dracunculoides","ND",0.19
2020-07-19,"WP","CO","Low","Open","Amphiachyris dracunculoides","ND",0.06
2019-06-02,"OS","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2020-07-19,"DF","MO","High","Open","Amphiachyris dracunculoides","ND",0.25
2019-04-21,"OS","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-03-17,"DF","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-05-05,"OS","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2020-07-19,"GG","MO","High","Open","Amphiachyris dracunculoides","ND",0
2020-07-19,"DF","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-04-21,"DF","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-04-21,"WP","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-05-05,"DF","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-05-05,"WP","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-04-21,"OS","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-06-02,"OS","MO","High","Open","Amphiachyris dracunculoides","ND",0
2020-07-19,"GG","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-07-21,"OS","MO","High","Open","Amphiachyris dracunculoides","ND",0
2020-07-19,"OS","MO","High","Open","Amphiachyris dracunculoides","ND",0.06
2021-07-18,"WP","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0.06
2019-07-21,"OS","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0.13
2019-04-21,"WP","MO","High","Open","Amphiachyris dracunculoides","ND",0
2020-07-19,"OS","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0.13
2019-04-21,"DF","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2021-07-18,"OS","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-03-17,"DF","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2019-04-21,"GG","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-05-05,"GG","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-07-21,"DF","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0.06
2019-06-02,"DF","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-07-21,"WP","CO","Low","Open","Amphiachyris dracunculoides","ND",0.38
2021-07-18,"GG","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-03-17,"OS","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-05-05,"GG","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2019-05-05,"WP","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-06-02,"OS","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-07-21,"GG","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2019-03-17,"GG","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2021-07-18,"OS","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-04-21,"GG","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-05-05,"OS","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-07-21,"GG","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-07-21,"WP","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0.31
2020-07-19,"DF","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0.13
2021-07-18,"GG","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2021-07-18,"DF","MO","High","Open","Amphiachyris dracunculoides","ND",0
2020-07-19,"OS","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2019-04-21,"WP","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2019-05-05,"WP","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2019-06-02,"OS","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-07-21,"OS","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-04-21,"DF","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2021-07-18,"GG","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-03-17,"DF","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2019-05-05,"GG","MS","High","Scavenger","Amphiachyris dracunculoides","ND",0
2019-07-21,"DF","MO","High","Open","Amphiachyris dracunculoides","ND",0.06
2019-04-21,"OS","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2020-07-19,"WP","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0.19
2019-04-21,"GG","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2021-07-18,"OS","MO","High","Open","Amphiachyris dracunculoides","ND",0
2019-07-21,"DF","CO","Low","Open","Amphiachyris dracunculoides","ND",0.06
2019-06-02,"GG","REF","Reference","Herbivore","Amphiachyris dracunculoides","ND",0
2020-07-19,"DF","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2020-07-19,"GG","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0
2021-07-18,"DF","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2020-07-19,"DF","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0.44
2019-05-05,"DF","CO","Low","Open","Amphiachyris dracunculoides","ND",0
2019-03-17,"OS","CS","Low","Scavenger","Amphiachyris dracunculoides","ND",0
2021-07-18,"OS","MH","High","Herbivore","Amphiachyris dracunculoides","ND",0
2019-07-21,"DF","CH","Low","Herbivore","Amphiachyris dracunculoides","ND",0.25
